" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"09262 PERAL DE ARLANZA",           2,
,"09265 PIERNIGAS",           1,
,"09266 PINEDA DE LA SIERRA",           1,
,"09268 PINILLA DE LOS BARRUECOS",           1,
,"09275 PRESENCIO",           1,
,"09279 QUEMADA",           1,
,"09280 QUINTANABUREBA",           1,
,"09281 QUINTANA DEL PIDIO",           1,
,"09288 QUINTANAPALLA",           1,
,"09289 QUINTANAR DE LA SIERRA",          43,
,"09292 QUINTANAVIDES",           1,
,"09297 QUINTANILLAS (LAS)",          14,
,"09298 QUINTANILLA SAN GARCIA",           4,
,"09301 QUINTANILLA VIVAR",           3,
,"09304 RABE DE LAS CALZADAS",           1,
,"09306 REBOLLEDO DE LA TORRE",           1,
,"09307 REDECILLA DEL CAMINO",           1,
,"09309 REGUMIEL DE LA SIERRA",          41,
,"09315 REVILLARRUZ",           1,
,"09316 REVILLA VALLEJERA",           1,
,"09317 REZMONDO",           1,
,"09321 ROA",          15,
,"09325 ROYUELA DE RIO FRANCO",          11,
,"09326 RUBENA",          14,
,"09329 SALAS DE BUREBA",           1,
,"09330 SALAS DE LOS INFANTES",          37,
,"09332 SALDAÑA DE BURGOS",           1,
,"09334 SALINILLAS DE BUREBA",           3,
,"09345 SANTA CRUZ DE LA SALCEDA",           1,
,"09350 SANTA MARIA DEL CAMPO",           7,
,"09353 SANTA MARIA RIVARREDONDA",           1,
,"09355 SANTIBAÑEZ DE ESGUEVA",           1,
,"09361 SARGENTES DE LA LORA",           2,
,"09362 SARRACIN",           1,
,"09363 SASAMON",          19,
,"09366 SOLARANA",           2,
,"09369 SOTILLO DE LA RIBERA",           1,
,"09372 SOTRAGERO",           1,
,"09373 SOTRESGUDO",           5,
,"09375 TAMARON",           1,
,"09377 TARDAJOS",           3,
,"09384 TORDOMAR",           7,
,"09387 TORREGALINDO",           2,
,"09390 TORRESANDINO",           7,
,"09391 TORTOLES DE ESGUEVA",          13,
,"09394 TRESPADERNE",           7,
,"09396 TUBILLA DEL LAGO",           2,
,"09398 URBEL DEL CASTILLO",           1,
,"09400 VADOCONDES",           3,
,"09410 VALLE DE MENA",          14,
,"09412 VALLE DE TOBALINA",          11,
,"09413 VALLE DE VALDEBEZANA",           9,
,"09419 VALLUERCANES",           2,
,"09421 VID Y BARRIOS (LA)",           4,
,"09425 VILVIESTRE DEL PINAR",          37,
,"09427 VILLADIEGO",          22,
,"09428 VILLAESCUSA DE ROA",           2,
,"09432 VILLAFRUELA",           3,
,"09434 VILLAGONZALO PEDERNALES",          64,
,"09437 VILLAHOZ",           1,
,"09438 VILLALBA DE DUERO",          12,
,"09439 VILLALBILLA DE BURGOS",           9,
,"09441 VILLALDEMIRO",           7,
,"09442 VILLALMANZO",           3,
,"09445 VILLAMBISTIA",           3,
,"09448 VILLANGOMEZ",           1,
,"09449 VILLANUEVA DE ARGAÑO",           7,
,"09456 VILLAQUIRAN DE LOS INFANTES",           7,
,"09458 VILLARIEZO",           3,
,"09460 VILLASANDINO",           3,
,"09463 VILLASUR DE HERREROS",           1,
,"09467 VILLAVERDE-MOGINA",           3,
,"09471 VILLAYERNO MORQUILLAS",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           8,
,"09902 VALLE DE SANTIBAÑEZ",           2,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",          28,
,"09904 VALLE DE LAS NAVAS",           2,
,"09905 VALLE DE SEDANO",           1,
,"09906 MERINDAD DE RIO UBIERNA",          15,
,"09907 ALFOZ DE QUINTANADUEÑAS",           5,
,"09908 VALLE DE LOSA",           4,
,"24002 ALGADEFE",           2,
,"24004 ALMANZA",           1,
,"24006 ARDON",           4,
,"24007 ARGANZA",           1,
,"24008 ASTORGA",          85,
,"24010 BAÑEZA (LA)",         161,
,"24011 BARJAS",           1,
,"24014 BEMBIBRE",          45,
,"24015 BENAVIDES",          19,
,"24017 BERCIANOS DEL PARAMO",          23,
,"24018 BERCIANOS DEL REAL CAMINO",           1,
,"24019 BERLANGA DEL BIERZO",           2,
,"24020 BOCA DE HUERGANO",           3,
,"24021 BOÑAR",           9,
,"24022 BORRENES",           2,
,"24023 BRAZUELO",           2,
,"24024 BURGO RANERO (EL)",           4,
,"24025 BURON",           2,
,"24026 BUSTILLO DEL PARAMO",           9,
,"24027 CABAÑAS RARAS",           7,
,"24028 CABREROS DEL RIO",           2,
,"24029 CABRILLANES",           2,
,"24030 CACABELOS",           3,
,"24033 CAMPO DE VILLAVIDEL",           6,
,"24034 CAMPONARAYA",          16,
,"24037 CARMENES",           1,
,"24038 CARRACEDELO",           4,
,"24039 CARRIZO",          28,
,"24040 CARROCERA",          10,
,"24041 CARUCEDO",          25,
,"24049 CASTROPODAME",           4,
,"24050 CASTROTIERRA DE VALMADRIGAL",           1,
,"24051 CEA",           1,
,"24052 CEBANICO",           1,
,"24053 CEBRONES DEL RIO",          14,
,"24054 CIMANES DE LA VEGA",           7,
,"24055 CIMANES DEL TEJAR",           3,
,"24056 CISTIERNA",          21,
,"24057 CONGOSTO",          10,
,"24060 CREMENES",           3,
,"24061 CUADROS",          13,
,"24062 CUBILLAS DE LOS OTEROS",           2,
,"24063 CUBILLAS DE RUEDA",           2,
,"24064 CUBILLOS DEL SIL",          42,
,"24065 CHOZAS DE ABAJO",           6,
,"24066 DESTRIANA",           2,
,"24067 ENCINEDO",           1,
,"24068 ERCINA (LA)",           1,
,"24070 FABERO",          36,
,"24071 FOLGOSO DE LA RIBERA",          27,
,"24077 GORDALIZA DEL PINO",           1,
,"24078 GORDONCILLO",           4,
,"24079 GRADEFES",           4,
,"24080 GRAJAL DE CAMPOS",           1,
,"24082 HOSPITAL DE ORBIGO",           4,
,"24083 IGÜEÑA",           2,
,"24084 IZAGRE",           2,
,"24087 LAGUNA DALGA",           8,
,"24088 LAGUNA DE NEGRILLOS",           6,
,"24089 LEON",         457,
,"24092 LLAMAS DE LA RIBERA",           7,
,"24093 MAGAZ DE CEPEDA",           3,
,"24094 MANSILLA DE LAS MULAS",          20,
,"24095 MANSILLA MAYOR",           5,
,"24098 MATALLANA DE TORIO",           6,
,"24102 NOCEDA DEL BIERZO",           2,
,"24104 OMAÑAS (LAS)",           1,
,"24105 ONZONILLA",          86,
,"24108 PALACIOS DE LA VALDUERNA",           1,
,"24110 PARAMO DEL SIL",          28,
,"24113 POBLADURA DE PELAYO GARCIA",           2,
,"24114 POLA DE GORDON (LA)",          16,
,"24115 PONFERRADA",         435,
,"24119 PRIARANZA DEL BIERZO",           2,
,"24121 PUEBLA DE LILLO",           7,
,"24122 PUENTE DE DOMINGO FLOREZ",           5,
,"24123 QUINTANA DEL CASTILLO",           1,
,"24125 QUINTANA Y CONGOSTO",           3,
,"24130 RIAÑO",           3,
,"24131 RIEGO DE LA VEGA",           8,
,"24132 RIELLO",           1,
,"24133 RIOSECO DE TAPIA",           4,
,"24134 ROBLA (LA)",          48,
,"24136 ROPERUELOS DEL PARAMO",           3,
,"24137 SABERO",           4,
,"24139 SAHAGUN",           9,
,"24142 SAN ANDRES DEL RABANEDO",         124,
,"24143 SANCEDO",           7,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           2,
,"24145 SAN EMILIANO",           1,
,"24146 SAN ESTEBAN DE NOGALES",           1,
,"24148 SAN JUSTO DE LA VEGA",           7,
,"24150 SAN PEDRO BERCIANOS",           3,
,"24151 SANTA COLOMBA DE CURUEÑO",           7,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           2,
,"24154 SANTA ELENA DE JAMUZ",           1,
,"24155 SANTA MARIA DE LA ISLA",           1,
,"24156 SANTA MARIA DEL MONTE DE CEA",           2,
,"24157 SANTA MARIA DEL PARAMO",          30,
,"24159 SANTA MARINA DEL REY",          23,
,"24160 SANTAS MARTAS",          15,
,"24161 SANTIAGO MILLAS",           2,
,"24162 SANTOVENIA DE LA VALDONCINA",          45,
,"24163 SARIEGOS",          10,
,"24164 SENA DE LUNA",           1,
,"24165 SOBRADO",           2,
,"24166 SOTO DE LA VEGA",           5,
,"24167 SOTO Y AMIO",          14,
,"24169 TORENO",           6,
,"24170 TORRE DEL BIERZO",          24,
,"24173 TURCIA",          17,
,"24174 URDIALES DEL PARAMO",           5,
,"24175 VALDEFRESNO",          22,
,"24176 VALDEFUENTES DEL PARAMO",           2,
,"24177 VALDELUGUEROS",           1,
,"24180 VALDEPOLO",           6,
,"24181 VALDERAS",           5,
,"24183 VALDERRUEDA",           9,
,"24184 VALDESAMARIO",           1,
,"24187 VALDEVIMBRE",          14,
,"24188 VALENCIA DE DON JUAN",          42,
,"24189 VALVERDE DE LA VIRGEN",          21,
,"24190 VALVERDE-ENRIQUE",           2,
,"24191 VALLECILLO",           5,
,"24193 VECILLA (LA)",           2,
,"24196 VEGA DE ESPINAREDA",           5,
,"24197 VEGA DE INFANZONES",           2,
,"24198 VEGA DE VALCARCE",           1,
,"24199 VEGAQUEMADA",           4,
,"24201 VEGAS DEL CONDADO",           1,
,"24202 VILLABLINO",          40,
,"24203 VILLABRAZ",           2,
,"24205 VILLADANGOS DEL PARAMO",           9,
,"24206 TORAL DE LOS VADOS",          14,
,"24207 VILLADEMOR DE LA VEGA",           1,
,"24209 VILLAFRANCA DEL BIERZO",          13,
,"24210 VILLAGATON",           6,
,"24211 VILLAMANDOS",           3,
,"24212 VILLAMAÑAN",           7,
,"24214 VILLAMEJIL",           6,
,"24215 VILLAMOL",           1,
,"24216 VILLAMONTAN DE LA VALDUERNA",           7,
,"24217 VILLAMORATIEL DE LAS MATAS",           3,
,"24218 VILLANUEVA DE LAS MANZANAS",           2,
,"24219 VILLAOBISPO DE OTERO",           3,
,"24221 VILLAQUEJIDA",          10,
,"24222 VILLAQUILAMBRE",          38,
,"24223 VILLAREJO DE ORBIGO",          24,
,"24224 VILLARES DE ORBIGO",           4,
,"24225 VILLASABARIEGO",           6,
,"24226 VILLASELAN",           1,
,"24227 VILLATURIEL",           7,
,"24228 VILLAZALA",           1,
,"24229 VILLAZANZO DE VALDERADUEY",           1,
,"24230 ZOTES DEL PARAMO",           1,
,"24901 VILLAMANIN",           3,
,"24902 VILLAORNATE Y CASTRO",           4,
,"34004 AGUILAR DE CAMPOO",          73,
,"34005 ALAR DEL REY",          10,
,"34006 ALBA DE CERRATO",           2,
,"34010 AMPUDIA",           8,
,"34011 AMUSCO",           2,
,"34017 ASTUDILLO",           4,
,"34019 AUTILLO DE CAMPOS",           2,
,"34020 AYUELA",           3,
,"34022 BALTANAS",           8,
,"34023 VENTA DE BAÑOS",          58,
,"34024 BAQUERIN DE CAMPOS",           2,
,"34025 BARCENA DE CAMPOS",           1,
,"34027 BARRUELO DE SANTULLAN",           5,
,"34028 BASCONES DE OJEDA",           3,
,"34029 BECERRIL DE CAMPOS",           4,
,"34031 BELMONTE DE CAMPOS",           1,
,"34035 BOADILLA DE RIOSECO",           2,
,"34038 BUSTILLO DE LA VEGA",           7,
,"34042 CALZADA DE LOS MOLINOS",           1,
,"34047 CARRION DE LOS CONDES",          13,
,"34048 CASTIL DE VELA",           2,
,"34050 CASTRILLO DE DON JUAN",           1,
,"34051 CASTRILLO DE ONIELO",           2,
,"34052 CASTRILLO DE VILLAVEGA",           3,
,"34056 CERVERA DE PISUERGA",          15,
,"34057 CEVICO DE LA TORRE",           5,
,"34058 CEVICO NAVERO",           7,
,"34059 CISNEROS",           4,
,"34060 COBOS DE CERRATO",           4,
,"34062 CONGOSTO DE VALDAVIA",           4,
,"34063 CORDOVILLA LA REAL",           6,
,"34067 DEHESA DE MONTEJO",           2,
,"34068 DEHESA DE ROMANOS",           1,
,"34069 DUEÑAS",          17,
,"34071 ESPINOSA DE VILLAGONZALO",           2,
,"34072 FRECHILLA",           1,
,"34074 FROMISTA",           6,
,"34076 FUENTES DE NAVA",          11,
,"34077 FUENTES DE VALDEPERO",           2,
,"34079 GRIJOTA",           8,
,"34080 GUARDO",          80,
,"34082 HERMEDES DE CERRATO",           4,
,"34083 HERRERA DE PISUERGA",          24,
,"34089 ITERO DE LA VEGA",           1,
,"34092 LANTADILLA",           8,
,"34098 MAGAZ DE PISUERGA",          15,
,"34100 MANTINOS",           1,
,"34102 MAZARIEGOS",           1,
,"34103 MAZUECOS DE VALDEGINATE",           1,
,"34104 MELGAR DE YUSO",           1,
,"34106 MENESES DE CAMPOS",           3,
,"34108 MONZON DE CAMPOS",           7,
,"34110 MUDA",           1,
,"34120 PALENCIA",         500,
,"34121 PALENZUELA",           5,
,"34123 PAREDES DE NAVA",           7,
,"34126 PEDROSA DE LA VEGA",           3,
,"34129 PINO DEL RIO",           2,
,"34130 PIÑA DE CAMPOS",           3,
,"34132 POBLACION DE CAMPOS",           4,
,"34133 POBLACION DE CERRATO",           1,
,"34135 POMAR DE VALDIVIA",           5,
,"34136 POZA DE LA VEGA",           1,
,"34139 PRADANOS DE OJEDA",           3,
,"34147 RENEDO DE LA VEGA",           8,
,"34149 REQUENA DE CAMPOS",           2,
,"34154 REVILLA DE COLLAZOS",           1,
,"34157 SALDAÑA",          18,
,"34159 SAN CEBRIAN DE CAMPOS",           1,
,"34169 SANTERVAS DE LA VEGA",           1,
,"34170 SANTIBAÑEZ DE ECLA",           1,
,"34171 SANTIBAÑEZ DE LA PEÑA",          11,
,"34174 SANTOYO",           2,
,"34176 SOTOBAÑADO Y PRIORATO",           1,
,"34180 TAMARA DE CAMPOS",           2,
,"34182 TORQUEMADA",          12,
,"34192 VALDE-UCIEZA",           2,
,"34199 VELILLA DEL RIO CARRION",           4,
,"34206 VILLADA",           5,
,"34211 VILLAHERREROS",           5,
,"34214 VILLALBA DE GUARDO",           1,
,"34216 VILLALCON",           1,
,"34217 VILLALOBON",          33,
,"34218 VILLALUENGA DE LA VEGA",           6,
,"34221 VILLAMEDIANA",           2,
,"34223 VILLAMORONTA",           1,
,"34225 VILLAMURIEL DE CERRATO",          57,
,"34231 VILLARRABE",           1,
,"34232 VILLARRAMIEL",           9,
,"34236 VILLATURDE",           2,
,"34237 VILLAUMBRALES",           8,
,"34240 VILLERIAS DE CAMPOS",           1,
,"34241 VILLODRE",           1,
,"34243 VILLOLDO",           4,
,"34245 VILLOTA DEL PARAMO",           2,
,"34901 OSORNO LA MAYOR",          17,
,"34904 PERNIA (LA)",           1,
,"37008 ALBA DE TORMES",          25,
,"37009 ALBA DE YELTES",           1,
,"37010 ALBERCA (LA)",           4,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",           1,
,"37014 ALDEADAVILA DE LA RIBERA",          20,
,"37017 ALDEANUEVA DE FIGUEROA",           4,
,"37020 ALDEARRUBIA",           2,
,"37021 ALDEASECA DE ALBA",           3,
,"37023 ALDEATEJADA",           6,
,"37024 ALDEAVIEJA DE TORMES",           4,
,"37025 ALDEHUELA DE LA BOVEDA",           1,
,"37026 ALDEHUELA DE YELTES",           2,
,"37031 ARABAYONA DE MOGICA",           6,
,"37032 ARAPILES",           9,
,"37038 BABILAFUENTE",           8,
,"37044 BARRUECOPARDO",           1,
,"37046 BEJAR",          14,
,"37057 BOVEDA DEL RIO ALMAR",           1,
,"37061 CABACO (EL)",           1,
,"37067 CABRERIZOS",           1,
,"37068 CABRILLAS",           1,
,"37069 CALVARRASA DE ABAJO",           8,
,"37070 CALVARRASA DE ARRIBA",           1,
,"37072 CALZADA DE DON DIEGO",           2,
,"37073 CALZADA DE VALDUNCIEL",           5,
,"37074 CAMPILLO DE AZABA",           1,
,"37077 CAMPO DE PEÑARANDA (EL)",           1,
,"37081 CANTALAPIEDRA",           1,
,"37082 CANTALPINO",           7,
,"37083 CANTARACILLO",           4,
,"37085 CARBAJOSA DE LA SAGRADA",           8,
,"37087 CARRASCAL DE BARREGAS",          22,
,"37092 CASTELLANOS DE MORISCOS",           5,
,"37106 CIPEREZ",           3,
,"37107 CIUDAD RODRIGO",          63,
,"37110 CORDOVILLA",           7,
,"37117 DOÑINOS DE SALAMANCA",           1,
,"37121 ENCINAS DE ABAJO",          16,
,"37125 ESCURIAL DE LA SIERRA",           2,
,"37128 ESPINO DE LA ORBADA",           4,
,"37129 FLORIDA DE LIEBANA",           1,
,"37133 FRESNEDOSO",           1,
,"37135 FUENTE DE SAN ESTEBAN (LA)",           6,
,"37140 FUENTES DE OÑORO",           3,
,"37144 GALISANCHO",           2,
,"37145 GALLEGOS DE ARGAÑAN",           3,
,"37146 GALLEGOS DE SOLMIRON",           2,
,"37148 GARCIHERNANDEZ",           1,
,"37152 GOMECELLO",           3,
,"37155 GUIJO DE AVILA",          27,
,"37156 GUIJUELO",          38,
,"37162 HORCAJO MEDIANERO",           2,
,"37164 HUERTA",           5,
,"37166 ITUERO DE AZABA",           1,
,"37168 LAGUNILLA",           1,
,"37170 LEDESMA",           5,
,"37173 LUMBRALES",           9,
,"37174 MACOTERA",           8,
,"37175 MACHACON",           8,
,"37177 MAILLO (EL)",           1,
,"37181 MARTIAGO",           3,
,"37185 CASTELLANOS DE VILLIQUERA",           3,
,"37188 MAYA (LA)",           1,
,"37194 MOGARRAZ",           2,
,"37198 MONLERAS",           1,
,"37204 MORASVERDES",           1,
,"37209 MOZARBEZ",           4,
,"37228 PALACIOSRUBIOS",           4,
,"37229 PALENCIA DE NEGRILLA",           2,
,"37236 PEDROSILLO DE ALBA",           2,
,"37237 PEDROSILLO DE LOS AIRES",           3,
,"37239 PEDROSO DE LA ARMUÑA (EL)",           5,
,"37240 PELABRAVO",           5,
,"37245 PEÑAPARDA",           1,
,"37246 PEÑARANDA DE BRACAMONTE",          40,
,"37250 PEREÑA DE LA RIBERA",           1,
,"37254 PITIEGUA",           1,
,"37255 PIZARRAL",           2,
,"37256 POVEDA DE LAS CINTAS",           7,
,"37258 PUEBLA DE AZABA",           1,
,"37274 SALAMANCA",         375,
,"37278 SAN CRISTOBAL DE LA CUESTA",           1,
,"37279 SANCTI-SPIRITUS",           1,
,"37283 SANDO",           1,
,"37287 SAN MIGUEL DE VALERO",           1,
,"37291 SAN PEDRO DE ROZADOS",           1,
,"37294 SANTA MARTA DE TORMES",          40,
,"37297 SANTIBAÑEZ DE BEJAR",           4,
,"37298 SANTIBAÑEZ DE LA SIERRA",           1,
,"37300 SANTOS (LOS)",           2,
,"37304 SEPULCRO-HILARIO",           1,
,"37312 SORIHUELA",           3,
,"37315 TALA (LA)",           1,
,"37316 TAMAMES",           5,
,"37317 TARAZONA DE GUAREÑA",           3,
,"37318 TARDAGUILA",           1,
,"37322 TERRADILLOS",           2,
,"37323 TOPAS",           2,
,"37324 TORDILLOS",           4,
,"37330 VALDECARROS",           3,
,"37339 VALERO",           1,
,"37347 VELLES (LA)",           4,
,"37348 VENTOSA DEL RIO ALMAR",           4,
,"37351 VILLAFLORES",           4,
,"37354 VILLAMAYOR",          11,
,"37362 VILLARES DE LA REINA",          94,
,"37364 VILLARINO DE LOS AIRES",           2,
,"37371 VILLASRUBIAS",           2,
,"37373 VILLAVIEJA DE YELTES",           1,
,"37374 VILLORIA",           5,
,"37375 VILLORUELA",           2,
,"37376 VITIGUDINO",           6,
,"37379 ZAMAYON",           2,
,"37381 ZARZA DE PUMAREDA (LA)",           1,
,"37382 ZORITA DE LA FRONTERA",           2,
,"40001 ABADES",           1,
,"40003 ADRADOS",           3,
,"40004 AGUILAFUENTE",           5,
,"40005 ALCONADA DE MADERUELO",           1,
,"40008 ALDEALENGUA DE SANTA MARIA",           1,
,"40012 ALDEA REAL",           5,
,"40013 ALDEASOÑA",           2,
,"40017 ANAYA",           1,
,"40024 AYLLON",          20,
,"40030 BERNARDOS",           1,
,"40031 BERNUY DE PORREROS",           3,
,"40032 BOCEGUILLAS",           3,
,"40036 CABEZUELA",           7,
,"40039 CAMPO DE SAN PEDRO",           2,
,"40040 CANTALEJO",          20,
,"40041 CANTIMPALOS",           4,
,"40043 CARBONERO EL MAYOR",          70,
,"40048 CASTROJIMENO",           2,
,"40053 CEREZO DE ABAJO",           1,
,"40057 COCA",           4,
,"40058 CODORNIZ",           1,
,"40062 CUBILLO",           1,
,"40063 CUELLAR",         102,
,"40065 CHAÑE",           5,
,"40073 ESCALONA DEL PRADO",           2,
,"40074 ESCARABAJOSA DE CABEZAS",           1,
,"40075 ESCOBAR DE POLENDOS",           1,
,"40076 ESPINAR (EL)",           9,
,"40077 ESPIRDO",           3,
,"40078 FRESNEDA DE CUELLAR",           7,
,"40080 FRESNO DE LA FUENTE",           3,
,"40081 FRUMALES",           2,
,"40082 FUENTE DE SANTA CRUZ",           1,
,"40086 FUENTEPELAYO",          37,
,"40087 FUENTEPIÑEL",           1,
,"40088 FUENTERREBOLLO",           3,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",           3,
,"40091 FUENTESOTO",           4,
,"40094 GARCILLAN",           5,
,"40095 GOMEZSERRACIN",          10,
,"40097 GRAJERA",           1,
,"40101 HONTANARES DE ERESMA",           3,
,"40103 HUERTOS (LOS)",           4,
,"40105 JUARROS DE RIOMOROS",           1,
,"40106 JUARROS DE VOLTOYA",           3,
,"40107 LABAJOS",           2,
,"40110 LASTRAS DE CUELLAR",           2,
,"40112 LASTRILLA (LA)",          27,
,"40113 LOSA (LA)",           2,
,"40115 MADERUELO",           2,
,"40119 MARTIN MIGUEL",           1,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",          19,
,"40124 MATA DE CUELLAR",           8,
,"40127 MEMBIBRE DE LA HOZ",           1,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",           1,
,"40134 MOZONCILLO",          13,
,"40135 MUÑOPEDRO",           6,
,"40138 NAVA DE LA ASUNCION",          21,
,"40139 NAVAFRIA",           1,
,"40141 NAVALMANZANO",          18,
,"40143 NAVARES DE ENMEDIO",           1,
,"40145 NAVAS DE ORO",          12,
,"40148 NIEVA",           1,
,"40149 OLOMBRADA",          11,
,"40151 ORTIGOSA DE PESTAÑO",           7,
,"40155 PALAZUELOS DE ERESMA",           4,
,"40160 PINARNEGRILLO",           1,
,"40161 CARABIAS",           2,
,"40162 PRADENA",          10,
,"40163 PUEBLA DE PEDRAZA",           1,
,"40164 RAPARIEGOS",           7,
,"40170 RIAZA",           6,
,"40174 SACRAMENIA",           2,
,"40176 SAMBOAL",           5,
,"40179 SANCHONUÑO",          24,
,"40180 SANGARCIA",           3,
,"40181 REAL SITIO DE SAN ILDEFONSO",          45,
,"40183 SAN MIGUEL DE BERNUY",          15,
,"40184 SAN PEDRO DE GAILLOS",           2,
,"40185 SANTA MARIA LA REAL DE NIEVA",           4,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",           9,
,"40191 SANTO TOME DEL PUERTO",           2,
,"40193 SEBULCOR",           9,
,"40194 SEGOVIA",         198,
,"40195 SEPULVEDA",          16,
,"40199 SOTOSALBOS",           3,
,"40200 TABANERA LA LUENGA",           3,
,"40203 TORRECABALLEROS",           3,
,"40205 TORREIGLESIAS",           1,
,"40207 TRESCASAS",           4,
,"40208 TUREGANO",           5,
,"40213 VALDEVACAS Y GUIJAR",           1,
,"40214 VALSECA",           2,
,"40215 VALTIENDAS",           1,
,"40216 VALVERDE DEL MAJANO",          26,
,"40218 VALLE DE TABLADILLO",           1,
,"40219 VALLELADO",           2,
,"40220 VALLERUELA DE PEDRAZA",           2,
,"40222 VEGANZONES",           2,
,"40223 VEGAS DE MATUTE",           3,
,"40225 VILLACASTIN",          25,
,"40228 VILLAVERDE DE ISCAR",           4,
,"40230 VILLEGUILLO",           1,
,"40231 YANGUAS DE ERESMA",           1,
,"40233 ZARZUELA DEL MONTE",           2,
,"40234 ZARZUELA DEL PINAR",           4,
,"40901 ORTIGOSA DEL MONTE",           1,
,"40902 COZUELOS DE FUENTIDUEÑA",           1,
,"40903 MARAZOLEJA",           1,
,"40906 SAN CRISTOBAL DE SEGOVIA",           3,
,"42004 AGREDA",          26,
,"42020 ALMAZAN",          52,
,"42022 ALMENAR DE SORIA",           3,
,"42025 ARCOS DE JALON",           3,
,"42032 BAYUBAS DE ABAJO",           1,
,"42035 BERLANGA DE DUERO",           3,
,"42036 BLACOS",           1,
,"42043 BURGO DE OSMA-CIUDAD DE OSMA",          27,
,"42045 CABREJAS DEL PINAR",           2,
,"42055 CASAREJOS",           4,
,"42057 CASTILRUIZ",          13,
,"42058 CASTILLEJO DE ROBLEDO",           1,
,"42068 COSCURITA",           1,
,"42069 COVALEDA",          33,
,"42071 CUBO DE LA SOLANA",           1,
,"42078 DURUELO DE LA SIERRA",          16,
,"42080 ESPEJA DE SAN MARCELINO",           1,
,"42081 ESPEJON",           1,
,"42086 FUENTECAMBRON",           1,
,"42087 FUENTECANTOS",           2,
,"42094 GARRAY",           2,
,"42095 GOLMAYO",           7,
,"42096 GOMARA",          13,
,"42103 LANGA DE DUERO",           6,
,"42110 MATALEBRERAS",           6,
,"42111 MATAMALA DE ALMAZAN",           1,
,"42113 MEDINACELI",           9,
,"42117 MOLINOS DE DUERO",           1,
,"42119 MONTEAGUDO DE LAS VICARIAS",           1,
,"42123 MORON DE ALMAZAN",           1,
,"42125 MURIEL VIEJO",           1,
,"42128 NARROS",           5,
,"42129 NAVALENO",          21,
,"42130 NEPAS",           3,
,"42132 NOVIERCAS",           2,
,"42134 OLVEGA",         116,
,"42149 RABANOS (LOS)",           1,
,"42154 RENIEBLAS",           2,
,"42162 SAN ESTEBAN DE GORMAZ",          25,
,"42163 SAN FELICES",           1,
,"42164 SAN LEONARDO DE YAGÜE",          22,
,"42167 SANTA MARIA DE HUERTA",           2,
,"42171 SERON DE NAGIMA",           4,
,"42173 SORIA",         223,
,"42181 TARDELCUENDE",           3,
,"42215 VINUESA",           9,
,"47004 ALAEJOS",          13,
,"47005 ALCAZAREN",           4,
,"47007 ALDEAMAYOR DE SAN MARTIN",           6,
,"47009 AMUSQUILLO",           1,
,"47010 ARROYO DE LA ENCOMIENDA",          25,
,"47011 ATAQUINES",          18,
,"47012 BAHABON",           1,
,"47015 BECILLA DE VALDERADUEY",           1,
,"47016 BENAFARCES",           1,
,"47017 BERCERO",           3,
,"47020 BOBADILLA DEL CAMPO",           7,
,"47023 BOECILLO",          13,
,"47026 BUSTILLO DE CHAVES",           2,
,"47027 CABEZON DE PISUERGA",          20,
,"47030 CAMPASPERO",          20,
,"47032 CAMPORREDONDO",           2,
,"47035 CARPIO",          20,
,"47036 CASASOLA DE ARION",           1,
,"47037 CASTREJON DE TRABANCOS",           5,
,"47038 CASTRILLO DE DUERO",           1,
,"47039 CASTRILLO-TEJERIEGO",           5,
,"47045 CASTRONUÑO",           8,
,"47046 CASTROPONCE",           1,
,"47047 CASTROVERDE DE CERRATO",           4,
,"47048 CEINOS DE CAMPOS",           1,
,"47049 CERVILLEGO DE LA CRUZ",           3,
,"47050 CIGALES",          10,
,"47051 CIGUÑUELA",           7,
,"47052 CISTERNIGA",          73,
,"47053 COGECES DE ISCAR",           1,
,"47054 COGECES DEL MONTE",          13,
,"47055 CORCOS",           2,
,"47057 CUBILLAS DE SANTA MARTA",           2,
,"47058 CUENCA DE CAMPOS",           2,
,"47060 ENCINAS DE ESGUEVA",           1,
,"47061 ESGUEVILLAS DE ESGUEVA",           4,
,"47065 FRESNO EL VIEJO",          10,
,"47066 FUENSALDAÑA",          14,
,"47067 FUENTE EL SOL",           5,
,"47071 GERIA",           1,
,"47073 HERRIN DE CAMPOS",           2,
,"47074 HORNILLOS DE ERESMA",           1,
,"47075 ISCAR",          46,
,"47076 LAGUNA DE DUERO",          72,
,"47081 MARZALES",           3,
,"47082 MATAPOZUELOS",           6,
,"47084 MAYORGA",           9,
