" Datos Básicos  - Tractores Industriales"
"Datos de: INDICADOR=TRACTORES INDUSTRIALES"
"FAMILIA INDICADOR",,"VEHÍCULOS",
"INDICADOR",,"TRACTORES INDUSTRIALES",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"09246 PALACIOS DE LA SIERRA",          11,
,"09251 PANCORBO",           3,
,"09256 PEDROSA DE DUERO",           1,
,"09257 PEDROSA DEL PARAMO",           1,
,"09258 PEDROSA DEL PRINCIPE",           1,
,"09265 PIERNIGAS",           1,
,"09266 PINEDA DE LA SIERRA",           1,
,"09270 PINILLA TRASMONTE",           1,
,"09281 QUINTANA DEL PIDIO",           1,
,"09287 QUINTANAORTUÑO",           1,
,"09288 QUINTANAPALLA",           1,
,"09289 QUINTANAR DE LA SIERRA",          31,
,"09292 QUINTANAVIDES",           1,
,"09297 QUINTANILLAS (LAS)",           6,
,"09298 QUINTANILLA SAN GARCIA",           4,
,"09301 QUINTANILLA VIVAR",           2,
,"09307 REDECILLA DEL CAMINO",           1,
,"09309 REGUMIEL DE LA SIERRA",          21,
,"09316 REVILLA VALLEJERA",           1,
,"09321 ROA",          10,
,"09325 ROYUELA DE RIO FRANCO",           7,
,"09326 RUBENA",           2,
,"09329 SALAS DE BUREBA",           1,
,"09330 SALAS DE LOS INFANTES",          16,
,"09334 SALINILLAS DE BUREBA",           2,
,"09346 SANTA CRUZ DEL VALLE URBION",           1,
,"09350 SANTA MARIA DEL CAMPO",           2,
,"09352 SANTA MARIA DEL MERCADILLO",           1,
,"09355 SANTIBAÑEZ DE ESGUEVA",           2,
,"09361 SARGENTES DE LA LORA",           2,
,"09362 SARRACIN",           1,
,"09363 SASAMON",          17,
,"09366 SOLARANA",           3,
,"09369 SOTILLO DE LA RIBERA",           1,
,"09373 SOTRESGUDO",           4,
,"09375 TAMARON",           1,
,"09377 TARDAJOS",           3,
,"09384 TORDOMAR",           6,
,"09390 TORRESANDINO",           4,
,"09391 TORTOLES DE ESGUEVA",          11,
,"09394 TRESPADERNE",           4,
,"09400 VADOCONDES",           2,
,"09405 VALDEZATE",           2,
,"09410 VALLE DE MENA",           3,
,"09412 VALLE DE TOBALINA",           9,
,"09413 VALLE DE VALDEBEZANA",           7,
,"09419 VALLUERCANES",           1,
,"09421 VID Y BARRIOS (LA)",           1,
,"09424 VILORIA DE RIOJA",           1,
,"09425 VILVIESTRE DEL PINAR",          16,
,"09427 VILLADIEGO",          15,
,"09429 VILLAESCUSA LA SOMBRIA",           1,
,"09432 VILLAFRUELA",           2,
,"09434 VILLAGONZALO PEDERNALES",          24,
,"09437 VILLAHOZ",           1,
,"09438 VILLALBA DE DUERO",           5,
,"09439 VILLALBILLA DE BURGOS",           8,
,"09441 VILLALDEMIRO",           5,
,"09442 VILLALMANZO",           4,
,"09445 VILLAMBISTIA",           3,
,"09449 VILLANUEVA DE ARGAÑO",           3,
,"09456 VILLAQUIRAN DE LOS INFANTES",           5,
,"09460 VILLASANDINO",           1,
,"09467 VILLAVERDE-MOGINA",           1,
,"09901 QUINTANILLA DEL AGUA Y TORDUELES",           3,
,"09902 VALLE DE SANTIBAÑEZ",           1,
,"09903 VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA",          16,
,"09906 MERINDAD DE RIO UBIERNA",           2,
,"09908 VALLE DE LOSA",           1,
,"24003 ALIJA DEL INFANTADO",           1,
,"24006 ARDON",           1,
,"24007 ARGANZA",           2,
,"24008 ASTORGA",          33,
,"24010 BAÑEZA (LA)",          82,
,"24012 BARRIOS DE LUNA (LOS)",           1,
,"24014 BEMBIBRE",          20,
,"24015 BENAVIDES",          12,
,"24017 BERCIANOS DEL PARAMO",          12,
,"24018 BERCIANOS DEL REAL CAMINO",           2,
,"24019 BERLANGA DEL BIERZO",           1,
,"24021 BOÑAR",           3,
,"24026 BUSTILLO DEL PARAMO",           3,
,"24027 CABAÑAS RARAS",           3,
,"24028 CABREROS DEL RIO",           1,
,"24029 CABRILLANES",           1,
,"24030 CACABELOS",           2,
,"24033 CAMPO DE VILLAVIDEL",           1,
,"24034 CAMPONARAYA",           8,
,"24038 CARRACEDELO",           1,
,"24039 CARRIZO",          14,
,"24040 CARROCERA",           4,
,"24041 CARUCEDO",           3,
,"24049 CASTROPODAME",           2,
,"24052 CEBANICO",           2,
,"24053 CEBRONES DEL RIO",           9,
,"24055 CIMANES DEL TEJAR",           1,
,"24056 CISTIERNA",          26,
,"24057 CONGOSTO",           4,
,"24060 CREMENES",           1,
,"24061 CUADROS",           6,
,"24062 CUBILLAS DE LOS OTEROS",           1,
,"24063 CUBILLAS DE RUEDA",           5,
,"24064 CUBILLOS DEL SIL",           3,
,"24065 CHOZAS DE ABAJO",           7,
,"24066 DESTRIANA",           4,
,"24068 ERCINA (LA)",           1,
,"24070 FABERO",          10,
,"24071 FOLGOSO DE LA RIBERA",           7,
,"24077 GORDALIZA DEL PINO",           1,
,"24078 GORDONCILLO",           3,
,"24079 GRADEFES",           2,
,"24082 HOSPITAL DE ORBIGO",           2,
,"24087 LAGUNA DALGA",           3,
,"24088 LAGUNA DE NEGRILLOS",           1,
,"24089 LEON",         325,
,"24091 LUYEGO",           1,
,"24092 LLAMAS DE LA RIBERA",           4,
,"24093 MAGAZ DE CEPEDA",           1,
,"24094 MANSILLA DE LAS MULAS",           5,
,"24095 MANSILLA MAYOR",           3,
,"24096 MARAÑA",           1,
,"24098 MATALLANA DE TORIO",           4,
,"24100 MOLINASECA",           1,
,"24104 OMAÑAS (LAS)",           2,
,"24105 ONZONILLA",          13,
,"24107 PAJARES DE LOS OTEROS",           1,
,"24108 PALACIOS DE LA VALDUERNA",           2,
,"24113 POBLADURA DE PELAYO GARCIA",           1,
,"24114 POLA DE GORDON (LA)",           8,
,"24115 PONFERRADA",         249,
,"24119 PRIARANZA DEL BIERZO",           2,
,"24121 PUEBLA DE LILLO",           2,
,"24122 PUENTE DE DOMINGO FLOREZ",           3,
,"24123 QUINTANA DEL CASTILLO",           1,
,"24125 QUINTANA Y CONGOSTO",           1,
,"24131 RIEGO DE LA VEGA",           2,
,"24133 RIOSECO DE TAPIA",           1,
,"24134 ROBLA (LA)",          23,
,"24136 ROPERUELOS DEL PARAMO",           1,
,"24137 SABERO",           3,
,"24139 SAHAGUN",           3,
,"24142 SAN ANDRES DEL RABANEDO",          41,
,"24143 SANCEDO",           6,
,"24144 SAN CRISTOBAL DE LA POLANTERA",           1,
,"24145 SAN EMILIANO",           1,
,"24148 SAN JUSTO DE LA VEGA",           3,
,"24150 SAN PEDRO BERCIANOS",           1,
,"24151 SANTA COLOMBA DE CURUEÑO",           4,
,"24153 SANTA CRISTINA DE VALMADRIGAL",           4,
,"24156 SANTA MARIA DEL MONTE DE CEA",           1,
,"24157 SANTA MARIA DEL PARAMO",          16,
,"24158 SANTA MARIA DE ORDAS",           2,
,"24159 SANTA MARINA DEL REY",          23,
,"24160 SANTAS MARTAS",           6,
,"24161 SANTIAGO MILLAS",           1,
